Date,S&P Comp (P),Dividend (D),Earnings (E),CPI,Long Interest Rate (GS10),Real Price,Real Dividend, Real Total Return Price (diviend reinvested) ,Real Earnings,Monthly Total Bond Returns,Real Total Bond Returns,10Y Annulazied Stock Real Return,10Y Annualized Bond Real Return,Real 10Y Excess Annualized Returns
1871-01-01,4.44,0.26,0.4,12.46,5.32,112.54,6.59,112.54,10.14,1.0,1.0,0.1306,0.0925,0.0381
1871-02-01,4.5,0.26,0.4,12.84,5.32,110.69,6.4,111.22,9.84,1.0,0.97,0.1309,0.0946,0.0362
1871-03-01,4.61,0.26,0.4,13.03,5.33,111.74,6.3,112.8,9.7,1.0,0.96,0.131,0.0962,0.0348
1871-04-01,4.74,0.26,0.4,12.56,5.33,119.24,6.54,120.93,10.06,1.0,1.0,0.12210000000000001,0.091,0.0311
1871-05-01,4.86,0.26,0.4,12.27,5.33,125.1,6.69,127.44,10.3,1.0,1.03,0.1226,0.0895,0.0331
1871-06-01,4.82,0.26,0.4,12.08,5.34,126.02,6.8,128.95,10.46,1.0,1.05,0.1231,0.0877,0.0354
1871-07-01,4.73,0.26,0.4,12.08,5.34,123.67,6.8,127.13,10.46,1.0,1.06,0.12,0.0866,0.0334
1871-08-01,4.79,0.26,0.4,11.89,5.34,127.24,6.91,131.39,10.63,1.0,1.08,0.1119,0.0827,0.029300000000000003
1871-09-01,4.84,0.26,0.4,12.18,5.35,125.56,6.74,130.23,10.38,1.0,1.06,0.11,0.081,0.028999999999999998
1871-10-01,4.59,0.26,0.4,12.37,5.35,117.24,6.64,122.18,10.22,1.0,1.05,0.1148,0.0817,0.0331
1871-11-01,4.64,0.26,0.4,12.37,5.35,118.52,6.64,124.09,10.22,1.0,1.05,0.1153,0.08259999999999999,0.0327
1871-12-01,4.74,0.26,0.4,12.65,5.36,118.34,6.49,124.47,9.99,1.0,1.03,0.1121,0.085,0.0271
1872-01-01,4.86,0.26,0.4,12.65,5.36,121.34,6.57,128.19,10.05,1.0,1.04,0.10769999999999999,0.0849,0.022799999999999997
1872-02-01,4.88,0.27,0.41,12.65,5.38,121.84,6.66,129.31,10.11,1.0,1.04,0.1038,0.0839,0.019799999999999998
1872-03-01,5.04,0.27,0.41,12.84,5.4,123.97,6.64,132.16,10.02,1.0,1.03,0.1017,0.0855,0.016200000000000003
1872-04-01,5.18,0.27,0.41,13.13,5.42,124.64,6.58,133.46,9.87,1.0,1.01,0.1001,0.08689999999999999,0.0132
1872-05-01,5.18,0.28,0.41,13.13,5.43,124.64,6.66,134.05,9.93,1.0,1.01,0.0978,0.0859,0.011899999999999999
1872-06-01,5.13,0.28,0.42,13.03,5.45,124.34,6.79,134.34,10.06,1.0,1.02,0.0965,0.08410000000000001,0.0124
1872-07-01,5.1,0.28,0.42,12.84,5.47,125.44,6.97,136.16,10.27,1.0,1.04,0.1025,0.08349999999999999,0.019
1872-08-01,5.04,0.29,0.42,12.94,5.49,123.06,7.0,134.2,10.25,1.0,1.04,0.10679999999999999,0.0832,0.0236
1872-09-01,4.95,0.29,0.42,13.03,5.51,119.98,7.03,131.48,10.24,1.0,1.03,0.1137,0.087,0.026699999999999998
1872-10-01,4.97,0.29,0.43,12.75,5.53,123.16,7.27,135.63,10.53,1.0,1.06,0.10869999999999999,0.08560000000000001,0.0231
1872-11-01,4.95,0.3,0.43,13.13,5.54,119.11,7.14,131.82,10.29,1.0,1.03,0.10859999999999999,0.0898,0.018799999999999997
1872-12-01,5.07,0.3,0.43,12.94,5.56,123.79,7.32,137.68,10.5,1.0,1.05,0.1059,0.0892,0.0167
1873-01-01,5.11,0.3,0.43,12.94,5.58,124.76,7.39,139.45,10.56,1.01,1.05,0.10439999999999999,0.0891,0.0152
1873-02-01,5.15,0.31,0.44,13.23,5.57,123.03,7.29,138.19,10.39,1.01,1.03,0.1024,0.0902,0.0121
1873-03-01,5.11,0.31,0.44,13.23,5.56,122.07,7.35,137.8,10.45,1.01,1.04,0.1056,0.091,0.0146
1873-04-01,5.04,0.31,0.44,13.23,5.55,120.4,7.41,136.61,10.51,1.01,1.05,0.1104,0.09179999999999999,0.018600000000000002
1873-05-01,5.05,0.31,0.44,12.94,5.54,123.3,7.63,140.62,10.8,1.01,1.07,0.1069,0.09029999999999999,0.0166
1873-06-01,4.98,0.32,0.45,12.56,5.53,125.28,7.92,143.63,11.19,1.01,1.11,0.1093,0.09,0.019299999999999998
1873-07-01,4.97,0.32,0.45,12.56,5.53,125.02,7.99,144.1,11.26,1.01,1.12,0.11,0.092,0.018000000000000002
1873-08-01,4.97,0.32,0.45,12.56,5.52,125.02,8.05,144.88,11.32,1.01,1.12,0.1048,0.0917,0.0131
1873-09-01,4.59,0.32,0.45,12.56,5.51,115.46,8.11,134.58,11.38,1.01,1.13,0.1159,0.0926,0.0233
1873-10-01,4.19,0.33,0.46,12.27,5.5,107.85,8.37,126.52,11.71,1.01,1.16,0.1202,0.08990000000000001,0.0304
1873-11-01,4.04,0.33,0.46,11.89,5.49,107.32,8.7,126.75,12.15,1.01,1.21,0.1234,0.0873,0.0361
1873-12-01,4.42,0.33,0.46,12.18,5.48,114.66,8.56,136.26,11.93,1.01,1.18,0.11230000000000001,0.0885,0.023700000000000002
1874-01-01,4.66,0.33,0.46,12.37,5.47,119.03,8.43,142.29,11.75,1.01,1.17,0.1047,0.09,0.0147
1874-02-01,4.8,0.33,0.46,12.37,5.44,122.61,8.43,147.4,11.75,1.01,1.18,0.1043,0.08960000000000001,0.0147
1874-03-01,4.73,0.33,0.46,12.37,5.4,120.82,8.43,146.1,11.75,1.01,1.19,0.1054,0.0892,0.016200000000000003
1874-04-01,4.6,0.33,0.46,12.18,5.37,119.33,8.56,145.16,11.93,1.01,1.22,0.1039,0.0895,0.0144
1874-05-01,4.48,0.33,0.46,12.08,5.34,117.13,8.63,143.37,12.03,1.01,1.23,0.0989,0.0906,0.0084
1874-06-01,4.46,0.33,0.46,11.8,5.3,119.43,8.84,147.08,12.32,1.01,1.27,0.0922,0.0876,0.0046
1874-07-01,4.46,0.33,0.46,11.89,5.27,118.48,8.77,146.8,12.22,1.01,1.27,0.0943,0.08929999999999999,0.005
1874-08-01,4.47,0.33,0.46,11.8,5.24,119.7,8.84,149.23,12.32,1.01,1.29,0.0998,0.08810000000000001,0.011699999999999999
1874-09-01,4.54,0.33,0.46,11.8,5.2,121.58,8.84,152.49,12.32,1.01,1.3,0.09570000000000001,0.0889,0.0068000000000000005
1874-10-01,4.53,0.33,0.46,11.61,5.17,123.3,8.98,155.58,12.52,1.01,1.33,0.0917,0.08800000000000001,0.0037
1874-11-01,4.57,0.33,0.46,11.51,5.14,125.41,9.06,159.21,12.62,1.01,1.35,0.0901,0.0892,0.0009
1874-12-01,4.54,0.33,0.46,11.51,5.1,124.59,9.06,159.12,12.62,1.01,1.36,0.09179999999999999,0.0901,0.0017000000000000001
1875-01-01,4.54,0.33,0.45,11.51,5.07,124.59,8.99,160.07,12.4,1.01,1.37,0.0892,0.0897,-0.0005
1875-02-01,4.53,0.33,0.44,11.51,5.03,124.31,8.92,160.68,12.17,1.01,1.38,0.0915,0.08810000000000001,0.0034000000000000002
1875-03-01,4.59,0.32,0.44,11.51,4.99,125.96,8.85,163.76,11.94,1.01,1.39,0.0928,0.09029999999999999,0.0025
1875-04-01,4.65,0.32,0.43,11.61,4.95,126.56,8.71,165.48,11.61,1.01,1.39,0.0907,0.0895,0.0012
1875-05-01,4.47,0.32,0.42,11.32,4.91,124.73,8.86,164.05,11.67,1.01,1.43,0.0935,0.08900000000000001,0.0045000000000000005
1875-06-01,4.38,0.32,0.41,11.13,4.87,124.31,8.94,164.48,11.64,1.01,1.47,0.0959,0.0894,0.006500000000000001
1875-07-01,4.39,0.31,0.4,11.13,4.83,124.59,8.87,165.83,11.4,1.01,1.48,0.0983,0.0877,0.0105
1875-08-01,4.41,0.31,0.39,11.23,4.79,124.1,8.72,166.14,11.07,1.01,1.48,0.10460000000000001,0.0883,0.0163
1875-09-01,4.37,0.31,0.39,11.13,4.75,124.02,8.73,167.02,10.93,1.01,1.5,0.10439999999999999,0.0883,0.0161
1875-10-01,4.3,0.31,0.38,11.13,4.71,122.04,8.66,165.31,10.69,1.01,1.51,0.11230000000000001,0.08800000000000001,0.024300000000000002
1875-11-01,4.37,0.3,0.37,11.04,4.67,125.09,8.66,170.43,10.54,1.01,1.53,0.115,0.08539999999999999,0.0296
1875-12-01,4.37,0.3,0.36,10.94,4.63,126.18,8.66,172.9,10.39,1.01,1.56,0.1104,0.0816,0.0288
1876-01-01,4.46,0.3,0.35,10.85,4.59,129.91,8.74,179.0,10.29,1.0,1.58,0.10949999999999999,0.0828,0.026699999999999998
1876-02-01,4.52,0.3,0.35,10.85,4.58,131.66,8.74,182.41,10.1,1.0,1.59,0.11,0.0825,0.0275
1876-03-01,4.51,0.3,0.34,10.85,4.57,131.37,8.74,183.02,9.9,1.0,1.6,0.109,0.08349999999999999,0.0255
