Date,S&P Comp (P),Dividend (D),Earnings (E),CPI,Date Fraction,Long Interest Rate (GS10),Real Price,Real Dividend, Real Total Return Price (diviend reinvested) ,Real Earnings,,Monthly Total Bond Returns,Real Total Bond Returns,10Y Annulazied Stock Real Return,10Y Annualized Bond Real Return,Real 10Y Excess Annualized Returns,,,,
1871.01,4.44,0.26,0.40,12.46,1871.04,5.32,112.54,6.59, 112.54 ,10.14,,1.00,1.00,13.06%,9.25%,3.81%,,,,
1871.02,4.50,0.26,0.40,12.84,1871.13,5.32,110.69,6.40, 111.22 ,9.84,,1.00,0.97,13.09%,9.46%,3.62%,,,,
1871.03,4.61,0.26,0.40,13.03,1871.21,5.33,111.74,6.30, 112.80 ,9.70,,1.00,0.96,13.10%,9.62%,3.48%,,,,
1871.04,4.74,0.26,0.40,12.56,1871.29,5.33,119.24,6.54, 120.93 ,10.06,,1.00,1.00,12.21%,9.10%,3.11%,,,,
1871.05,4.86,0.26,0.40,12.27,1871.38,5.33,125.10,6.69, 127.44 ,10.30,,1.00,1.03,12.26%,8.95%,3.31%,,,,
1871.06,4.82,0.26,0.40,12.08,1871.46,5.34,126.02,6.80, 128.95 ,10.46,,1.00,1.05,12.31%,8.77%,3.54%,,,,
1871.07,4.73,0.26,0.40,12.08,1871.54,5.34,123.67,6.80, 127.13 ,10.46,,1.00,1.06,12.00%,8.66%,3.34%,,,,
1871.08,4.79,0.26,0.40,11.89,1871.63,5.34,127.24,6.91, 131.39 ,10.63,,1.00,1.08,11.19%,8.27%,2.93%,,,,
1871.09,4.84,0.26,0.40,12.18,1871.71,5.35,125.56,6.74, 130.23 ,10.38,,1.00,1.06,11.00%,8.10%,2.90%,,,,
1871.1,4.59,0.26,0.40,12.37,1871.79,5.35,117.24,6.64, 122.18 ,10.22,,1.00,1.05,11.48%,8.17%,3.31%,,,,
1871.11,4.64,0.26,0.40,12.37,1871.88,5.35,118.52,6.64, 124.09 ,10.22,,1.00,1.05,11.53%,8.26%,3.27%,,,,
1871.12,4.74,0.26,0.40,12.65,1871.96,5.36,118.34,6.49, 124.47 ,9.99,,1.00,1.03,11.21%,8.50%,2.71%,,,,
1872.01,4.86,0.26,0.40,12.65,1872.04,5.36,121.34,6.57, 128.19 ,10.05,,1.00,1.04,10.77%,8.49%,2.28%,,,,
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,121.84,6.66, 129.31 ,10.11,,1.00,1.04,10.38%,8.39%,1.98%,,,,
1872.03,5.04,0.27,0.41,12.84,1872.21,5.40,123.97,6.64, 132.16 ,10.02,,1.00,1.03,10.17%,8.55%,1.62%,,,,
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,124.64,6.58, 133.46 ,9.87,,1.00,1.01,10.01%,8.69%,1.32%,,,,
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,124.64,6.66, 134.05 ,9.93,,1.00,1.01,9.78%,8.59%,1.19%,,,,
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,124.34,6.79, 134.34 ,10.06,,1.00,1.02,9.65%,8.41%,1.24%,,,,
1872.07,5.10,0.28,0.42,12.84,1872.54,5.47,125.44,6.97, 136.16 ,10.27,,1.00,1.04,10.25%,8.35%,1.90%,,,,
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,123.06,7.00, 134.20 ,10.25,,1.00,1.04,10.68%,8.32%,2.36%,,,,
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,119.98,7.03, 131.48 ,10.24,,1.00,1.03,11.37%,8.70%,2.67%,,,,
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,123.16,7.27, 135.63 ,10.53,,1.00,1.06,10.87%,8.56%,2.31%,,,,
1872.11,4.95,0.30,0.43,13.13,1872.88,5.54,119.11,7.14, 131.82 ,10.29,,1.00,1.03,10.86%,8.98%,1.88%,,,,
1872.12,5.07,0.30,0.43,12.94,1872.96,5.56,123.79,7.32, 137.68 ,10.50,,1.00,1.05,10.59%,8.92%,1.67%,,,,
1873.01,5.11,0.30,0.43,12.94,1873.04,5.58,124.76,7.39, 139.45 ,10.56,,1.01,1.05,10.44%,8.91%,1.52%,,,,
1873.02,5.15,0.31,0.44,13.23,1873.13,5.57,123.03,7.29, 138.19 ,10.39,,1.01,1.03,10.24%,9.02%,1.21%,,,,
1873.03,5.11,0.31,0.44,13.23,1873.21,5.56,122.07,7.35, 137.80 ,10.45,,1.01,1.04,10.56%,9.10%,1.46%,,,,
1873.04,5.04,0.31,0.44,13.23,1873.29,5.55,120.40,7.41, 136.61 ,10.51,,1.01,1.05,11.04%,9.18%,1.86%,,,,
1873.05,5.05,0.31,0.44,12.94,1873.38,5.54,123.30,7.63, 140.62 ,10.80,,1.01,1.07,10.69%,9.03%,1.66%,,,,
1873.06,4.98,0.32,0.45,12.56,1873.46,5.53,125.28,7.92, 143.63 ,11.19,,1.01,1.11,10.93%,9.00%,1.93%,,,,
1873.07,4.97,0.32,0.45,12.56,1873.54,5.53,125.02,7.99, 144.10 ,11.26,,1.01,1.12,11.00%,9.20%,1.80%,,,,
1873.08,4.97,0.32,0.45,12.56,1873.63,5.52,125.02,8.05, 144.88 ,11.32,,1.01,1.12,10.48%,9.17%,1.31%,,,,
1873.09,4.59,0.32,0.45,12.56,1873.71,5.51,115.46,8.11, 134.58 ,11.38,,1.01,1.13,11.59%,9.26%,2.33%,,,,
1873.1,4.19,0.33,0.46,12.27,1873.79,5.50,107.85,8.37, 126.52 ,11.71,,1.01,1.16,12.02%,8.99%,3.04%,,,,
1873.11,4.04,0.33,0.46,11.89,1873.88,5.49,107.32,8.70, 126.75 ,12.15,,1.01,1.21,12.34%,8.73%,3.61%,,,,
1873.12,4.42,0.33,0.46,12.18,1873.96,5.48,114.66,8.56, 136.26 ,11.93,,1.01,1.18,11.23%,8.85%,2.37%,,,,
1874.01,4.66,0.33,0.46,12.37,1874.04,5.47,119.03,8.43, 142.29 ,11.75,,1.01,1.17,10.47%,9.00%,1.47%,,,,
1874.02,4.80,0.33,0.46,12.37,1874.13,5.44,122.61,8.43, 147.40 ,11.75,,1.01,1.18,10.43%,8.96%,1.47%,,,,
1874.03,4.73,0.33,0.46,12.37,1874.21,5.40,120.82,8.43, 146.10 ,11.75,,1.01,1.19,10.54%,8.92%,1.62%,,,,
1874.04,4.60,0.33,0.46,12.18,1874.29,5.37,119.33,8.56, 145.16 ,11.93,,1.01,1.22,10.39%,8.95%,1.44%,,,,
1874.05,4.48,0.33,0.46,12.08,1874.38,5.34,117.13,8.63, 143.37 ,12.03,,1.01,1.23,9.89%,9.06%,0.84%,,,,
1874.06,4.46,0.33,0.46,11.80,1874.46,5.30,119.43,8.84, 147.08 ,12.32,,1.01,1.27,9.22%,8.76%,0.46%,,,,
1874.07,4.46,0.33,0.46,11.89,1874.54,5.27,118.48,8.77, 146.80 ,12.22,,1.01,1.27,9.43%,8.93%,0.50%,,,,
1874.08,4.47,0.33,0.46,11.80,1874.63,5.24,119.70,8.84, 149.23 ,12.32,,1.01,1.29,9.98%,8.81%,1.17%,,,,
1874.09,4.54,0.33,0.46,11.80,1874.71,5.20,121.58,8.84, 152.49 ,12.32,,1.01,1.30,9.57%,8.89%,0.68%,,,,
